racenum,pos,hnum,finalOdds,temp,cond,finish_time,date,hname,jockey,trainer
4,5,3,5.4,5,Fast,121.2,2016-05-06,Bridget,Emilie,Jayden
4,6,1,51.9,5,Fast,121.4,2016-05-06,Valentina,Zayden,Alexandra
4,7,7,72.2,5,Fast,122.2,2016-05-06,Kaia,Gilbert,Amya
4,8,6,50.6,5,Fast,122.2,2016-05-06,Tabitha,Forest,Lilianna
5,1,1,28.35,5,Fast,115.2,2016-05-06,Theresa,Abigail,Winter
5,2,5,7.9,5,Fast,115.3,2016-05-06,Nova,Jamie,Charity
5,3,9,2.3,5,Fast,115.4,2016-05-06,Adeline,Emilie,Rachel
5,4,4,2.2,5,Fast,116.3,2016-05-06,Nylah,Ford,Penelope
5,5,2,27.85,5,Fast,116.4,2016-05-06,Mason,Maritza,Kieran
5,6,7,5.15,5,Fast,116.4,2016-05-06,Haley,Josephine,Cesar
5,7,6,2.5,5,Fast,117.1,2016-05-06,Kennedi,Chaya,Trevor
5,8,10,21.7,5,Fast,117.4,2016-05-06,Nicole,Doris,Griffin
5,9,8,30.35,5,Fast,120.3,2016-05-06,Terrance,Bodie,Nalani
6,1,1,0.55,5,Fast,119,2016-05-06,Junior,Emilie,Trevor
6,2,4,7.3,5,Fast,120,2016-05-06,Brooklynn,Kylan,Jacqueline
6,3,2,3.5,5,Fast,120,2016-05-06,Annalee,Maritza,Dwayne
6,4,5,4.5,5,Fast,120.2,2016-05-06,Natasha,Chaya,Griffin
6,5,7,36.5,5,Fast,120.3,2016-05-06,Nayeli,Abigail,Jayden
6,6,6,8.3,5,Fast,121,2016-05-06,Sky,Doris,Abby
6,7,3,30.4,5,Fast,121.3,2016-05-06,Korbin,Jamie,Leila
7,1,1,5.35,5,Fast,114.4,2016-05-06,Giselle,Abigail,Carlos
7,2,2,2,5,Fast,116.2,2016-05-06,Wendy,Yehuda,Keenan
7,3,4,40.85,5,Fast,116.4,2016-05-06,Ashlynn,Bartholomew,Haisley
7,4,5,25.8,5,Fast,116.4,2016-05-06,Holden,Hadassah,Odin
7,5,6,1.6,5,Fast,117.1,2016-05-06,Arianna,Emilie,Trevor
7,6,8,62.6,5,Fast,117.3,2016-05-06,Porter,Chaya,Reuben
7,7,9,3.9,5,Fast,117.3,2016-05-06,Ayanna,Maritza,Dwayne
7,8,3,6.65,5,Fast,118.2,2016-05-06,Peyton,Jamie,Charity
7,9,7,25.95,5,Fast,119,2016-05-06,Tania,Zayden,Matteo
8,1,8,18.7,5,Fast,122,2016-05-06,Martha,Dayton,Marco
8,2,5,2.95,5,Fast,122.1,2016-05-06,Melanie,Zayden,Humphrey
8,3,1,2.9,5,Fast,122.1,2016-05-06,Dana,Jamie,Rosamund
8,4,6,8.25,5,Fast,122.1,2016-05-06,Danny,Hadassah,Desiree
8,5,2,1.05,5,Fast,122.2,2016-05-06,Luka,Emilie,Davis
8,6,3,31.55,5,Fast,122.2,2016-05-06,Mckenzie,Maritza,Taryn
8,7,7,68.8,5,Fast,122.3,2016-05-06,Jonathan,Chaya,Yaretzi
8,8,4,7.2,5,Fast,122.3,2016-05-06,Hester,Lydia,Ian
9,1,6,5.85,5,Fast,117,2016-05-06,Bailey,Emilie,Pedro
9,2,3,8.25,5,Fast,118.2,2016-05-06,Spencer,Jamie,Anastasia
9,3,8,12.25,5,Fast,119.1,2016-05-06,Lucy,Ford,Sullivan
9,4,5,1.05,5,Fast,119.2,2016-05-06,Ashton,Zayden,Kalel
9,5,7,13.05,5,Fast,119.3,2016-05-06,Vicente,Doris,Abby
9,6,2,7.9,5,Fast,119.4,2016-05-06,Chad,Chaya,Kieran
9,7,1,25.3,5,Fast,120,2016-05-06,Davis,Bruce,Wayne
10,1,1,3.05,5,Fast,114,2016-05-06,Tanner,Emmalynn,Desiree
10,2,9,5.05,5,Fast,114.3,2016-05-06,Brixton,Emilie,Trevor
10,3,6,45.7,5,Fast,115.1,2016-05-06,Brody,Yehuda,Hailee
10,4,2,12,5,Fast,115.1,2016-05-06,Aspen,Jamie,Alani
10,5,7,4.2,5,Fast,115.1,2016-05-06,Easton,Doris,Alberto
10,6,3,1.05,5,Fast,115.3,2016-05-06,Hanna,Abigail,Kian
10,7,8,71.6,5,Fast,115.4,2016-05-06,Alivia,Amira,Zeke
10,8,5,12.6,5,Fast,116.2,2016-05-06,Darwin,Axel,Westin
10,9,4,8.9,5,Fast,118.3,2016-05-06,Kole,Lydia,Immanuel
11,1,5,0.05,5,Fast,121.2,2016-05-06,Katherine,Emilie,Trevor
11,2,3,13.05,5,Fast,122.4,2016-05-06,Rachel,Doris,Ethan
11,3,2,45.05,5,Fast,122.4,2016-05-06,Alianna,Briella,Hadlee
11,4,6,27.35,5,Fast,123,2016-05-06,Robin,Bruce,Wayne
11,5,4,13.55,5,Fast,123.1,2016-05-06,Jaxxon,Kylan,Jacqueline
11,6,1,14.3,5,Fast,123.2,2016-05-06,Jayceon,Bartholomew,Soren
11,7,7,24.7,5,Fast,127,2016-05-06,Isaiah,Gilbert,Amya
12,1,2,2.95,5,Fast,117.4,2016-05-06,Pamela,Zayden,Anastasia
12,2,1,3.3,5,Fast,118.1,2016-05-06,Kylee,Yehuda,Deandre
12,3,3,3.35,5,Fast,118.2,2016-05-06,Rosalyn,Bartholomew,Rylie
12,4,8,25.25,5,Fast,118.4,2016-05-06,Ryan,Maritza,Amy
12,5,7,15.95,5,Fast,118.4,2016-05-06,Joyce,Darren,Allyson
12,6,9,47,5,Fast,119,2016-05-06,Mckinley,Jamie,Carmen
12,7,5,1.55,5,Fast,119,2016-05-06,Kieran,Emilie,Trevor
12,8,6,11.1,5,Fast,119.1,2016-05-06,Janelle,Amira,Winter
12,9,4,59.6,5,Fast,120.1,2016-05-06,Anders,Bruce,Dominik
1,1,4,1.9,4,Fast,121.2,2016-05-13,Aislinn,Ansley,Kehlani
1,2,2,0.9,4,Fast,121.3,2016-05-13,Aries,Jamie,Maritza
1,3,5,3.85,4,Fast,122.2,2016-05-13,Rachel,Doris,Ethan
1,4,1,7.75,4,Fast,123,2016-05-13,Alianna,Briella,Hadlee
1,5,3,12.75,4,Fast,123,2016-05-13,Jayceon,Bartholomew,Soren
1,6,6,15.7,4,Fast,123.2,2016-05-13,Hailee,Lydia,Anastasia
2,1,1,0.75,4,Fast,116.3,2016-05-13,Kieran,Emilie,Trevor
2,2,4,6.4,4,Fast,118.3,2016-05-13,Alma,Yehuda,Deandre
2,3,8,3.9,4,Fast,118.4,2016-05-13,Rosalyn,Bartholomew,Rylie
2,4,5,9.6,4,Fast,118.4,2016-05-13,Mckinley,Avi,Allie
2,5,2,22.7,4,Fast,120.4,2016-05-13,Dana,Jamie,Rosamund
2,6,6,3.4,4,Fast,120.4,2016-05-13,Aitana,Chaya,Celine
2,7,3,18.5,4,Fast,123,2016-05-13,Dominick,Emmalynn,Desiree
3,1,6,5.1,4,Fast,118.2,2016-05-13,Cuthbert,Emilie,Eric
3,2,2,0.7,4,Fast,118.3,2016-05-13,Damon,Abigail,Braydon
3,3,9,16.9,4,Fast,118.3,2016-05-13,Vance,Chaya,Winter
3,4,1,2.95,4,Fast,118.4,2016-05-13,Nalani,Jamie,Charity
3,5,5,19.25,4,Fast,119.1,2016-05-13,Alexis,Amira,Carlos
3,6,4,6.1,4,Fast,119.2,2016-05-13,Bennett,Maritza,Ari
3,7,3,16.2,4,Fast,119.2,2016-05-13,Kaleb,Benicio,Deandre
3,8,7,16.35,4,Fast,120.1,2016-05-13,Eve,Harlan,Ariya
3,9,8,71.6,4,Fast,122,2016-05-13,Ismael,Baker,Abby
4,1,4,1.2,4,Fast,118.4,2016-05-13,Sky,Jamie,Charity
4,2,2,2.3,4,Fast,118.4,2016-05-13,Jedidiah,Doris,Trevor
4,3,9,23.45,4,Fast,119.2,2016-05-13,Atlas,Amira,Darren
4,4,3,12.6,4,Fast,120,2016-05-13,Hezekiah,Emilie,Rachel
4,5,8,46.1,4,Fast,120.4,2016-05-13,Troy,Kace,Hadlee
4,6,1,13.8,4,Fast,120.4,2016-05-13,Grady,Abigail,Braydon
4,7,5,10.4,4,Fast,120.4,2016-05-13,Kamila,Bartholomew,Tatiana
4,8,7,2.45,4,Fast,121,2016-05-13,Annalee,Maritza,Dwayne
5,1,6,9.35,4,Fast,117.1,2016-05-13,Tania,Zayden,Matteo
5,2,2,3.4,4,Fast,117.3,2016-05-13,Holden,Hadassah,Odin
5,3,5,2.65,4,Fast,117.3,2016-05-13,Porter,Chaya,Reuben
5,4,9,1.6,4,Fast,117.4,2016-05-13,Aspen,Jamie,Alani
5,5,4,5.35,4,Fast,117.4,2016-05-13,Blaze,Doris,Etta
5,6,8,34.55,4,Fast,118,2016-05-13,Ayanna,Maritza,Dwayne
5,7,3,14.1,4,Fast,118.1,2016-05-13,Valerie,Bartholomew,Emmie
5,8,1,9.6,4,Fast,118.1,2016-05-13,Etta,Emilie,Cecilia
6,1,4,0.9,4,Fast,117.1,2016-05-13,Pamela,Zayden,Anastasia
6,2,1,3.55,4,Fast,118,2016-05-13,Anderson,Maverick,Nash
6,3,2,13.75,4,Fast,118,2016-05-13,Janelle,Amira,Winter
6,4,8,9.55,4,Fast,118,2016-05-13,Joyce,Darren,Allyson
6,5,3,3.6,4,Fast,118.1,2016-05-13,Ryan,Maritza,Amy
6,6,5,15.15,4,Fast,118.2,2016-05-13,Martha,Dayton,Marco
6,7,6,6.35,4,Fast,119,2016-05-13,Kylee,Yehuda,Deandre
7,1,1,2.25,4,Fast,115.3,2016-05-13,Omar,Chaya,Mathew
7,2,5,8.6,4,Fast,115.3,2016-05-13,Brixton,Zayden,Trevor
7,3,9,31.45,4,Fast,116,2016-05-13,Brody,Yehuda,Hailee
7,4,7,2.85,4,Fast,116.1,2016-05-13,Bodie,Jamie,Charity
7,5,3,11.8,4,Fast,116.2,2016-05-13,Hanna,Abigail,Kian
7,6,2,7.9,4,Fast,116.2,2016-05-13,Giselle,Amira,Carlos
7,7,8,2.9,4,Fast,116.2,2016-05-13,Shiloh,Emilie,Rachel
7,8,6,24,4,Fast,117.1,2016-05-13,Jason,Harlan,Trevor
8,1,2,0.6,4,Fast,117.2,2016-05-13,Gabriella,Ford,Penelope
8,2,6,4.1,4,Fast,118.3,2016-05-13,Caden,Legend,Charity
8,3,5,4.3,4,Fast,119.4,2016-05-13,Cayden,Yehuda,Carlos
8,4,8,21,4,Fast,119.4,2016-05-13,Ainsley,Doris,Abby
8,5,3,14.35,4,Fast,120,2016-05-13,Jerome,Darren,Rosamund
8,6,1,12.85,4,Fast,120.3,2016-05-13,Elizabeth,Emilie,Novalee
8,7,9,7.5,4,Fast,120.4,2016-05-13,Maliah,Chaya,Dorian
8,8,4,34.25,4,Fast,124,2016-05-13,Dawson,Jamie,Carlos
9,1,4,1.45,4,Fast,115.4,2016-05-13,Bailey,Amira,Pedro
9,2,9,3.5,4,Fast,117,2016-05-13,Lucy,Ford,Sullivan
9,3,2,10.85,4,Fast,117.2,2016-05-13,Chad,Chaya,Kieran
9,4,7,24.55,4,Fast,117.3,2016-05-13,Vicente,Doris,Abby
9,5,3,3.1,4,Fast,118.1,2016-05-13,Sariyah,Bartholomew,Mathew
9,6,8,5.45,4,Fast,118.1,2016-05-13,Junior,Emilie,Trevor
9,7,1,79.9,4,Fast,119.1,2016-05-13,Nayeli,Abigail,Jayden
9,8,6,5.15,4,Fast,122,2016-05-13,Ashton,Zayden,Kalel
10,1,6,80.75,4,Fast,116,2016-05-13,Lachlan,Doris,Tatiana
10,2,7,8.75,4,Fast,116.1,2016-05-13,Nova,Jamie,Charity
10,3,3,45.9,4,Fast,116.2,2016-05-13,Mason,Maritza,Kieran
10,4,4,12.9,4,Fast,116.2,2016-05-13,Terrance,Bodie,Nalani
10,5,8,2.45,4,Fast,116.3,2016-05-13,Tanner,Emmalynn,Desiree
10,6,9,3.3,4,Fast,116.3,2016-05-13,Wallace,Darren,Penelope
10,7,1,4.55,4,Fast,116.3,2016-05-13,Arianna,Emilie,Trevor
10,8,2,1.85,4,Fast,116.4,2016-05-13,Theresa,Abigail,Winter
10,9,5,14.95,4,Fast,117,2016-05-13,Kole,Yehuda,Immanuel
11,1,7,16.4,4,Fast,120.1,2016-05-13,Quinton,Bartholomew,Emmanuel
11,2,6,5.55,4,Fast,120.1,2016-05-13,Bridget,Emilie,Jayden
11,3,5,2.8,4,Fast,120.4,2016-05-13,Derrick,Doris,Abby
11,4,2,2.25,4,Fast,121.1,2016-05-13,Dorian,Anya,Luciana
11,5,1,44.25,4,Fast,121.4,2016-05-13,Valentina,Maverick,Alexandra
11,6,3,8.7,4,Fast,122,2016-05-13,Forrest,Chaya,Mathew
11,7,4,1.6,4,Fast,122.3,2016-05-13,Brooklyn,Zayden,Anastasia
11,8,8,26.25,4,Fast,126.1,2016-05-13,Mackenzie,Yehuda,Deandre
12,1,6,3.8,4,Fast,116.4,2016-05-13,Fernando,Emilie,Ryder
12,2,4,0.3,4,Fast,116.4,2016-05-13,Andy,Abigail,Braydon
12,3,7,14.7,4,Fast,117,2016-05-13,Annie,Doris,Abby
12,4,5,8.9,4,Fast,117,2016-05-13,Lilianna,Maverick,Karina
12,5,9,40.4,4,Fast,117.1,2016-05-13,Trent,Yehuda,Carlos
12,6,2,41.2,4,Fast,117.1,2016-05-13,Zoe,Jamie,Sullivan
12,7,1,32.75,4,Fast,117.3,2016-05-13,Beau,Harlan,Debra
12,8,3,16.45,4,Fast,118.2,2016-05-13,Jayden,Maverick,Jemma
12,9,10,42.7,4,Fast,121.1,2016-05-13,Marion,Chaya,Maritza
1,1,1,0.25,12,Sloppy,118.3,2016-05-16,Keyla,Chaya,Wesley
1,2,3,33.5,12,Sloppy,118.4,2016-05-16,Darian,Harlan,Aubriella
1,3,4,66.6,12,Sloppy,119.3,2016-05-16,Hester,Maritza,Ian
1,4,6,5.4,12,Sloppy,119.4,2016-05-16,Everett,Maverick,Karina
1,5,2,28.05,12,Sloppy,120.1,2016-05-16,Mack,Evan,Fisher
1,6,7,86.6,12,Sloppy,120.3,2016-05-16,Julie,Zayden,Anastasia
1,7,5,2.55,12,Sloppy,121,2016-05-16,Griffin,Emilie,Anson
2,1,9,2.35,12,Sloppy,123.1,2016-05-16,Gunner,Bartholomew,Willie
2,2,8,51.6,12,Sloppy,123.3,2016-05-16,Micheal,Joziah,Drake
2,3,6,4.15,12,Sloppy,124.1,2016-05-16,Karina,Amira,Winter
2,4,1,8.95,12,Sloppy,124.4,2016-05-16,Isaias,Lydia,Draven
2,5,2,2,12,Sloppy,124.4,2016-05-16,Raina,Jayson,Ivy
2,6,7,32.9,12,Sloppy,125.2,2016-05-16,Wren,Maritza,Dwayne
2,7,4,4.45,12,Sloppy,125.3,2016-05-16,Alan,Emilie,Kali
2,8,5,12.1,12,Sloppy,127,2016-05-16,Della,Abigail,Jorge
3,1,5,3.9,12,Sloppy,119.2,2016-05-16,Winter,Harlan,Easton
3,2,1,0.3,12,Sloppy,119.2,2016-05-16,Kyson,Emilie,Trevor
3,3,2,13.8,12,Sloppy,120.2,2016-05-16,Allie,Doris,Abby
3,4,6,9.1,12,Sloppy,120.4,2016-05-16,Major,Bartholomew,Lucy
3,5,9,43.6,12,Sloppy,121.1,2016-05-16,Jerome,Darren,Rosamund
3,6,8,40,12,Sloppy,121.2,2016-05-16,Harleigh,Maritza,Amy
3,7,7,14.8,12,Sloppy,121.2,2016-05-16,Cayden,Yehuda,Carlos
3,8,4,13.55,12,Sloppy,124.4,2016-05-16,Elizabeth,Zayden,Novalee
4,1,6,2.65,12,Sloppy,121,2016-05-16,Billy,Zayden,Anson
4,2,2,1,12,Sloppy,121.4,2016-05-16,Scarlet,Harlan,Harmony
4,3,4,7.1,12,Sloppy,123,2016-05-16,Kenley,Dayton,Brooke
4,4,8,48,12,Sloppy,123,2016-05-16,Kaia,Gilbert,Amya
4,5,7,5.85,12,Sloppy,124,2016-05-16,Eliza,Maverick,Nash
4,6,5,5.4,12,Sloppy,125,2016-05-16,Savannah,Emilie,Kali
4,7,1,19.45,12,Sloppy,126.4,2016-05-16,Stella,Doris,Dallas
4,8,3,5.7,12,Sloppy,127.2,2016-05-16,Ellison,Chaya,Kieran
5,1,2,0.2,12,Sloppy,119.3,2016-05-16,Estella,Zayden,Joanna
5,2,3,31.3,12,Sloppy,120.2,2016-05-16,Margaret,Bartholomew,Yael
5,3,5,65.6,12,Sloppy,121,2016-05-16,Ansley,Aspen,Sophie
5,4,8,13.4,12,Sloppy,122,2016-05-16,Dalary,Chaya,Yaretzi
5,5,4,4.95,12,Sloppy,122,2016-05-16,Lily,Doris,Crystal
5,6,1,5.85,12,Sloppy,122.2,2016-05-16,Nadia,Avi,Allie
5,7,6,36.85,12,Sloppy,122.2,2016-05-16,Kobe,Gilbert,Amya
5,8,7,15.05,12,Sloppy,123.3,2016-05-16,Annabelle,Yehuda,Alissa
6,1,7,7.05,12,Sloppy,124.3,2016-05-16,Arthur,Bartholomew,Kieran
6,2,1,0.15,12,Sloppy,124.3,2016-05-16,Atticus,Emilie,Trevor
6,3,6,37.7,12,Sloppy,124.3,2016-05-16,Ryder,Harlan,Mario
6,4,5,50.6,12,Sloppy,125.3,2016-05-16,Zaiden,Chaya,Anastasia
6,5,4,22.5,12,Sloppy,126,2016-05-16,Kamiyah,Gilbert,Amya
6,6,3,13.75,12,Sloppy,126.4,2016-05-16,Jesiah,Sebastian,Samantha
6,7,2,4.4,12,Sloppy,130.1,2016-05-16,Tadeo,Darren,Eric
7,1,2,0.45,12,Sloppy,117.3,2016-05-16,Sloan,Zayden,Winter
7,2,6,4.85,12,Sloppy,117.4,2016-05-16,Tinsley,Harlan,Emmanuel
7,3,8,40.9,12,Sloppy,118.4,2016-05-16,Krew,Cruz,Skye
7,4,9,3.8,12,Sloppy,119.2,2016-05-16,Alijah,Emilie,Ryder
7,5,5,15.25,12,Sloppy,120.3,2016-05-16,Wesson,Chaya,Sarai
7,6,7,21.6,12,Sloppy,122.1,2016-05-16,Emmett,Macie,Yaretzi
7,7,1,40.85,12,Sloppy,122.3,2016-05-16,Jaylin,Doris,Abby
8,1,6,2.9,12,Sloppy,120.4,2016-05-16,Grady,Abigail,Braydon
8,2,2,7.6,12,Sloppy,120.4,2016-05-16,Issac,Maritza,Dwayne
8,3,9,15.65,12,Sloppy,121.1,2016-05-16,Bronson,Zayden,Anastasia
8,4,1,2,12,Sloppy,121.3,2016-05-16,Katherine,Emilie,Trevor
8,5,4,4.4,12,Sloppy,121.3,2016-05-16,Aria,Chaya,Wesley
8,6,7,45.35,12,Sloppy,122,2016-05-16,Luca,Kiara,Cairo
8,7,5,3.1,12,Sloppy,122.1,2016-05-16,Elianna,Amira,Winter
8,8,3,9.65,12,Sloppy,122.4,2016-05-16,Aislinn,Ansley,Kehlani
8,9,8,67.6,12,Sloppy,123.1,2016-05-16,Jurnee,Maverick,Sarai
9,1,5,0.8,12,Sloppy,119.4,2016-05-16,Emerson,Harlan,Mario
9,2,6,19.35,12,Sloppy,121,2016-05-16,Adriana,Doris,Hazel
9,3,8,6.55,12,Sloppy,121,2016-05-16,Lilian,Melanie,Justin
9,4,2,7,12,Sloppy,121.1,2016-05-16,Edwin,Amira,Winter
9,5,3,5.8,12,Sloppy,121.1,2016-05-16,Itzel,Darren,Emory
9,6,4,5.3,12,Sloppy,121.2,2016-05-16,Humphrey,Chaya,Yareli
9,7,1,5.2,12,Sloppy,121.4,2016-05-16,Dwayne,Zayden,Itzayana
10,1,9,2.15,12,Sloppy,118.2,2016-05-16,Rhys,Ford,Penelope
10,2,4,0.7,12,Sloppy,118.2,2016-05-16,Zayd,Emilie,Carmelo
10,3,1,7.45,12,Sloppy,118.3,2016-05-16,Sincere,Yehuda,Deandre
10,4,3,10.5,12,Sloppy,118.4,2016-05-16,Jaylene,Zayden,Anastasia
10,5,6,7.95,12,Sloppy,119,2016-05-16,Kyree,Amira,Winter
10,6,5,24.05,12,Sloppy,119,2016-05-16,Armando,Chaya,Soren
10,7,7,19.65,12,Sloppy,119.1,2016-05-16,Phoebe,Maritza,Cataleya
10,8,2,41.85,12,Sloppy,119.3,2016-05-16,Brayden,Abigail,Wesley
10,9,8,14.85,12,Sloppy,121.4,2016-05-16,Laney,Bodie,Nalani
1,1,3,1.3,-2,Fast,120.4,2016-05-20,Derrick,Doris,Abby
1,2,8,29.5,-2,Fast,121.3,2016-05-20,Chanel,Josephine,Brenna
1,3,7,3.6,-2,Fast,121.4,2016-05-20,Emma,Jamie,Charity
1,4,1,16.15,-2,Fast,122,2016-05-20,Luciana,Anya,Luciana
1,5,4,6.5,-2,Fast,122.2,2016-05-20,Aaliyah,Chaya,Mathew
1,6,2,3.9,-2,Fast,122.2,2016-05-20,Thomasin,Kylan,Rodolfo
1,7,6,3.85,-2,Fast,120.4,2016-05-20,Bridget,Emilie,Jayden
1,8,5,23.55,-2,Fast,121,2016-05-20,Maria,Ford,Sullivan
2,1,2,2,-2,Fast,121.1,2016-05-20,Lucca,Ford,Itzayana
2,2,9,2,-2,Fast,121.3,2016-05-20,Kaleb,Yehuda,Deandre
2,3,4,21.45,-2,Fast,121.4,2016-05-20,Harlem,Harlan,Yael
2,4,7,21.8,-2,Fast,122,2016-05-20,Brylee,Maritza,Joel
2,5,1,4.45,-2,Fast,122,2016-05-20,Melanie,Zayden,Humphrey
2,6,3,3.8,-2,Fast,123,2016-05-20,Dana,Amira,Rosamund
2,7,6,7.15,-2,Fast,124.2,2016-05-20,Mckinley,Avi,Allie
2,8,5,18.25,-2,Fast,125,2016-05-20,Sharon,Darren,Draven
3,1,5,0.4,-2,Fast,115.2,2016-05-20,Hanna,Abigail,Kian
3,2,3,10.05,-2,Fast,117.1,2016-05-20,Paloma,Emilie,Rachel
3,3,4,3.85,-2,Fast,117.1,2016-05-20,Porter,Chaya,Reuben
3,4,9,13.4,-2,Fast,117.3,2016-05-20,Gannon,Yehuda,Anson
3,5,7,15.45,-2,Fast,117.3,2016-05-20,Ayanna,Maritza,Dwayne
3,6,8,64.6,-2,Fast,118.1,2016-05-20,Blaze,Doris,Etta
3,7,6,5.65,-2,Fast,118.1,2016-05-20,Arianna,Zayden,Trevor
3,8,1,54.6,-2,Fast,118.2,2016-05-20,Cory,Bruce,Wayne
3,9,2,7.1,-2,Fast,119,2016-05-20,Eileen,Luciano,Mario
4,1,3,2.75,-2,Fast,121.1,2016-05-20,Robin,Doris,Abby
4,2,4,6.75,-2,Fast,121.2,2016-05-20,Jayceon,Bartholomew,Soren
4,3,1,3.9,-2,Fast,122,2016-05-20,Jaxxon,Kylan,Jacqueline
4,4,9,10.15,-2,Fast,123.1,2016-05-20,Alianna,Briella,Hadlee
4,5,6,16.75,-2,Fast,123.1,2016-05-20,Myla,Terry,Aviana
4,6,7,3,-2,Fast,124,2016-05-20,Layton,Kiara,Kylan
4,7,2,2.05,-2,Fast,124,2016-05-20,Rachel,Emilie,Ethan
5,1,1,0.55,-2,Fast,115,2016-05-20,Andy,Abigail,Braydon
5,2,3,7.25,-2,Fast,115.2,2016-05-20,Fernando,Chaya,Ryder
5,3,9,5.3,-2,Fast,115.2,2016-05-20,Kenna,Maritza,Winter
5,4,4,31.45,-2,Fast,115.3,2016-05-20,Jayden,Maverick,Jemma
5,5,5,3.9,-2,Fast,116.1,2016-05-20,Allan,Emilie,Trevor
5,6,7,16.9,-2,Fast,116.3,2016-05-20,Gabrielle,Amira,Zeke
5,7,2,9.85,-2,Fast,116.3,2016-05-20,Trent,Yehuda,Carlos
5,8,6,44.85,-2,Fast,117.3,2016-05-20,Alexzander,Doris,Abby
6,1,5,1.55,-2,Fast,119,2016-05-20,Jedidiah,Doris,Trevor
6,2,8,5.95,-2,Fast,119.1,2016-05-20,Brooklynn,Kylan,Jacqueline
6,3,3,5.05,-2,Fast,119.1,2016-05-20,Hezekiah,Emilie,Rachel
6,4,6,14.3,-2,Fast,119.2,2016-05-20,Atlas,Amira,Darren
6,5,7,2.9,-2,Fast,119.3,2016-05-20,Sariyah,Bartholomew,Mathew
6,6,1,50.6,-2,Fast,119.3,2016-05-20,Mackenzie,Yehuda,Deandre
6,7,4,10.8,-2,Fast,119.3,2016-05-20,Troy,Briella,Hadlee
6,8,9,8.65,-2,Fast,120,2016-05-20,Adrianna,Maverick,Alexandra
6,9,2,9.55,-2,Fast,120.3,2016-05-20,Axel,Gilbert,Amya
7,1,9,2.25,-2,Fast,115.4,2016-05-20,Theresa,Abigail,Winter
7,2,2,5.9,-2,Fast,116.1,2016-05-20,Terrance,Bodie,Nalani
7,3,3,0.75,-2,Fast,117,2016-05-20,Kennedi,Emilie,Trevor
7,4,8,14.85,-2,Fast,117,2016-05-20,Nylah,Ford,Penelope
7,5,1,15.4,-2,Fast,117.1,2016-05-20,Kole,Yehuda,Immanuel
7,6,6,5.8,-2,Fast,117.2,2016-05-20,Mason,Maritza,Kieran
7,7,5,66.6,-2,Fast,118.2,2016-05-20,Kayden,Bruce,Princess
7,8,7,42.05,-2,Fast,118.2,2016-05-20,Callum,Dayton,Marco
8,1,5,8.7,-2,Fast,117.4,2016-05-20,Junior,Emilie,Trevor
8,2,2,6.55,-2,Fast,117.4,2016-05-20,Sky,Jamie,Charity
8,3,4,11.55,-2,Fast,118,2016-05-20,Vicente,Doris,Abby
8,4,3,17.7,-2,Fast,118.1,2016-05-20,Chad,Chaya,Kieran
8,5,9,45.7,-2,Fast,120,2016-05-20,Spencer,Zayden,Anastasia
8,6,7,4.75,-2,Fast,120,2016-05-20,Lucy,Ford,Sullivan
